"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"174","Downstream","H3ac",0,120,"No Expression","clusteredNLRs_Seedling"
"175","Downstream","H3K4me3",26,120,"No Expression","clusteredNLRs_Seedling"
"176","Downstream","H3K36me3",12,120,"No Expression","clusteredNLRs_Seedling"
"177","Downstream","H3K27ac",6,120,"No Expression","clusteredNLRs_Seedling"
"178","Downstream","H4K5ac",10,120,"No Expression","clusteredNLRs_Seedling"
"179","Downstream","H4K8ac",7,120,"No Expression","clusteredNLRs_Seedling"
"180","Downstream","H3-1",16,120,"No Expression","clusteredNLRs_Seedling"
"181","Downstream","H3K9ac",20,120,"No Expression","clusteredNLRs_Seedling"
"182","Downstream","H4K12ac",10,120,"No Expression","clusteredNLRs_Seedling"
"183","Downstream","H3K27me1",20,120,"No Expression","clusteredNLRs_Seedling"
"184","Downstream","H4K16ac",7,120,"No Expression","clusteredNLRs_Seedling"
"185","Downstream","H3K14ac",13,120,"No Expression","clusteredNLRs_Seedling"
"186","Downstream","H2A",12,120,"No Expression","clusteredNLRs_Seedling"
"187","Downstream","H3",2,120,"No Expression","clusteredNLRs_Seedling"
"188","Downstream","H2A-X",3,120,"No Expression","clusteredNLRs_Seedling"
"189","Downstream","H3K18ac",3,120,"No Expression","clusteredNLRs_Seedling"
"190","DownstreamIntergenic","H3-3",23,140,"No Expression","clusteredNLRs_Seedling"
"191","DownstreamIntergenic","H3K9me2",2,140,"No Expression","clusteredNLRs_Seedling"
"192","DownstreamIntergenic","H3K27me3",15,140,"No Expression","clusteredNLRs_Seedling"
"193","DownstreamIntergenic","H2A-Z",34,140,"No Expression","clusteredNLRs_Seedling"
"194","DownstreamIntergenic","H2AK121ub",8,140,"No Expression","clusteredNLRs_Seedling"
"195","DownstreamIntergenic","H3ac",0,140,"No Expression","clusteredNLRs_Seedling"
"196","DownstreamIntergenic","H3K4me3",9,140,"No Expression","clusteredNLRs_Seedling"
"197","DownstreamIntergenic","H3K36me3",5,140,"No Expression","clusteredNLRs_Seedling"
"198","DownstreamIntergenic","H3K27ac",1,140,"No Expression","clusteredNLRs_Seedling"
"199","DownstreamIntergenic","H4K5ac",5,140,"No Expression","clusteredNLRs_Seedling"
"200","DownstreamIntergenic","H4K8ac",3,140,"No Expression","clusteredNLRs_Seedling"
"201","DownstreamIntergenic","H3-1",9,140,"No Expression","clusteredNLRs_Seedling"
"202","DownstreamIntergenic","H3K9ac",7,140,"No Expression","clusteredNLRs_Seedling"
"203","DownstreamIntergenic","H4K12ac",3,140,"No Expression","clusteredNLRs_Seedling"
"204","DownstreamIntergenic","H3K27me1",10,140,"No Expression","clusteredNLRs_Seedling"
"205","DownstreamIntergenic","H4K16ac",2,140,"No Expression","clusteredNLRs_Seedling"
"206","DownstreamIntergenic","H3K14ac",5,140,"No Expression","clusteredNLRs_Seedling"
"207","DownstreamIntergenic","H2A",7,140,"No Expression","clusteredNLRs_Seedling"
"208","DownstreamIntergenic","H3",1,140,"No Expression","clusteredNLRs_Seedling"
"209","DownstreamIntergenic","H2A-X",3,140,"No Expression","clusteredNLRs_Seedling"
"210","DownstreamIntergenic","H3K18ac",1,140,"No Expression","clusteredNLRs_Seedling"
"211","UpstreamIntergenic","H3-3",21.4285714285714,-60,"Low Expression","clusteredNLRs_Seedling"
"212","UpstreamIntergenic","H3K9me2",0,-60,"Low Expression","clusteredNLRs_Seedling"
"213","UpstreamIntergenic","H3K27me3",0,-60,"Low Expression","clusteredNLRs_Seedling"
"214","UpstreamIntergenic","H2A-Z",14.2857142857143,-60,"Low Expression","clusteredNLRs_Seedling"
"215","UpstreamIntergenic","H2AK121ub",7.14285714285714,-60,"Low Expression","clusteredNLRs_Seedling"
"216","UpstreamIntergenic","H3ac",0,-60,"Low Expression","clusteredNLRs_Seedling"
"217","UpstreamIntergenic","H3K4me3",14.2857142857143,-60,"Low Expression","clusteredNLRs_Seedling"
"218","UpstreamIntergenic","H3K36me3",0,-60,"Low Expression","clusteredNLRs_Seedling"
"219","UpstreamIntergenic","H3K27ac",0,-60,"Low Expression","clusteredNLRs_Seedling"
"220","UpstreamIntergenic","H4K5ac",7.14285714285714,-60,"Low Expression","clusteredNLRs_Seedling"
"221","UpstreamIntergenic","H4K8ac",0,-60,"Low Expression","clusteredNLRs_Seedling"
