"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"178","Gene100","H2A",0,"control1_root",100,"No Expression",62
"179","Downstream","H2A",0,"control1_root",120,"No Expression",62
"180","DownstreamIntergenic","H2A",0,"control1_root",140,"No Expression",62
"181","UpstreamIntergenic","H3",0,"control1_root",-60,"No Expression",62
"182","Promotor1000","H3",0,"control1_root",-40,"No Expression",62
"183","Promotor500","H3",0,"control1_root",-20,"No Expression",62
"184","Gene20","H3",0,"control1_root",20,"No Expression",62
"185","Gene40","H3",0,"control1_root",40,"No Expression",62
"186","Gene60","H3",0,"control1_root",60,"No Expression",62
"187","Gene80","H3",0,"control1_root",80,"No Expression",62
"188","Gene100","H3",0,"control1_root",100,"No Expression",62
"189","Downstream","H3",0,"control1_root",120,"No Expression",62
"190","DownstreamIntergenic","H3",0,"control1_root",140,"No Expression",62
"191","UpstreamIntergenic","H2A-X",0,"control1_root",-60,"No Expression",62
"192","Promotor1000","H2A-X",0,"control1_root",-40,"No Expression",62
"193","Promotor500","H2A-X",0,"control1_root",-20,"No Expression",62
"194","Gene20","H2A-X",0,"control1_root",20,"No Expression",62
"195","Gene40","H2A-X",0,"control1_root",40,"No Expression",62
"196","Gene60","H2A-X",0,"control1_root",60,"No Expression",62
"197","Gene80","H2A-X",0,"control1_root",80,"No Expression",62
"198","Gene100","H2A-X",0,"control1_root",100,"No Expression",62
"199","Downstream","H2A-X",0,"control1_root",120,"No Expression",62
"200","DownstreamIntergenic","H2A-X",0,"control1_root",140,"No Expression",62
"201","UpstreamIntergenic","H3K18ac",0,"control1_root",-60,"No Expression",62
"202","Promotor1000","H3K18ac",0,"control1_root",-40,"No Expression",62
"203","Promotor500","H3K18ac",0,"control1_root",-20,"No Expression",62
"204","Gene20","H3K18ac",0,"control1_root",20,"No Expression",62
"205","Gene40","H3K18ac",0,"control1_root",40,"No Expression",62
"206","Gene60","H3K18ac",0,"control1_root",60,"No Expression",62
"207","Gene80","H3K18ac",0,"control1_root",80,"No Expression",62
"208","Gene100","H3K18ac",0,"control1_root",100,"No Expression",62
"209","Downstream","H3K18ac",0,"control1_root",120,"No Expression",62
"210","DownstreamIntergenic","H3K18ac",0,"control1_root",140,"No Expression",62
"211","UpstreamIntergenic","H3-3",0,"control1_root",-60,"Low Expression",121
"212","Promotor1000","H3-3",0,"control1_root",-40,"Low Expression",121
"213","Promotor500","H3-3",0,"control1_root",-20,"Low Expression",121
"214","Gene20","H3-3",0,"control1_root",20,"Low Expression",121
"215","Gene40","H3-3",0,"control1_root",40,"Low Expression",121
"216","Gene60","H3-3",0,"control1_root",60,"Low Expression",121
"217","Gene80","H3-3",0,"control1_root",80,"Low Expression",121
"218","Gene100","H3-3",0,"control1_root",100,"Low Expression",121
"219","Downstream","H3-3",0,"control1_root",120,"Low Expression",121
"220","DownstreamIntergenic","H3-3",0,"control1_root",140,"Low Expression",121
"221","UpstreamIntergenic","H3K9me2",0,"control1_root",-60,"Low Expression",121
"222","Promotor1000","H3K9me2",0,"control1_root",-40,"Low Expression",121
"223","Promotor500","H3K9me2",0,"control1_root",-20,"Low Expression",121
"224","Gene20","H3K9me2",0,"control1_root",20,"Low Expression",121
"225","Gene40","H3K9me2",0,"control1_root",40,"Low Expression",121
"226","Gene60","H3K9me2",0,"control1_root",60,"Low Expression",121
"227","Gene80","H3K9me2",0,"control1_root",80,"Low Expression",121
"228","Gene100","H3K9me2",0,"control1_root",100,"Low Expression",121
"229","Downstream","H3K9me2",0,"control1_root",120,"Low Expression",121
"230","DownstreamIntergenic","H3K9me2",0,"control1_root",140,"Low Expression",121
"231","UpstreamIntergenic","H3K27me3",0.00286760296174598,"control1_root",-60,"Low Expression",121
"232","Promotor1000","H3K27me3",0.0211239669421488,"control1_root",-40,"Low Expression",121
"233","Promotor500","H3K27me3",0.0129917355371901,"control1_root",-20,"Low Expression",121
"234","Gene20","H3K27me3",0.0891979399802823,"control1_root",20,"Low Expression",121
"235","Gene40","H3K27me3",0.0729674822428219,"control1_root",40,"Low Expression",121
"236","Gene60","H3K27me3",0.0874959368406533,"control1_root",60,"Low Expression",121
"237","Gene80","H3K27me3",0.0742123459453671,"control1_root",80,"Low Expression",121
"238","Gene100","H3K27me3",0.0412123043616164,"control1_root",100,"Low Expression",121
"239","Downstream","H3K27me3",0.0438429752066116,"control1_root",120,"Low Expression",121
"240","DownstreamIntergenic","H3K27me3",0.00580384724279218,"control1_root",140,"Low Expression",121
"241","UpstreamIntergenic","H2A-Z",0,"control1_root",-60,"Low Expression",121
"242","Promotor1000","H2A-Z",0,"control1_root",-40,"Low Expression",121
"243","Promotor500","H2A-Z",0,"control1_root",-20,"Low Expression",121
"244","Gene20","H2A-Z",0,"control1_root",20,"Low Expression",121
"245","Gene40","H2A-Z",0,"control1_root",40,"Low Expression",121
"246","Gene60","H2A-Z",0,"control1_root",60,"Low Expression",121
"247","Gene80","H2A-Z",0,"control1_root",80,"Low Expression",121
"248","Gene100","H2A-Z",0,"control1_root",100,"Low Expression",121
"249","Downstream","H2A-Z",0,"control1_root",120,"Low Expression",121
"250","DownstreamIntergenic","H2A-Z",0,"control1_root",140,"Low Expression",121
"251","UpstreamIntergenic","H2AK121ub",0,"control1_root",-60,"Low Expression",121
"252","Promotor1000","H2AK121ub",0,"control1_root",-40,"Low Expression",121
"253","Promotor500","H2AK121ub",0,"control1_root",-20,"Low Expression",121
"254","Gene20","H2AK121ub",0,"control1_root",20,"Low Expression",121
"255","Gene40","H2AK121ub",0,"control1_root",40,"Low Expression",121
"256","Gene60","H2AK121ub",0,"control1_root",60,"Low Expression",121
"257","Gene80","H2AK121ub",0,"control1_root",80,"Low Expression",121
"258","Gene100","H2AK121ub",0,"control1_root",100,"Low Expression",121
"259","Downstream","H2AK121ub",0,"control1_root",120,"Low Expression",121
"260","DownstreamIntergenic","H2AK121ub",0,"control1_root",140,"Low Expression",121
"261","UpstreamIntergenic","H3ac",0.00671871622697062,"control1_root",-60,"Low Expression",121
"262","Promotor1000","H3ac",0.229206611570248,"control1_root",-40,"Low Expression",121
"263","Promotor500","H3ac",0.280694214876033,"control1_root",-20,"Low Expression",121
"264","Gene20","H3ac",0.737428591877099,"control1_root",20,"Low Expression",121
"265","Gene40","H3ac",0.522454134466524,"control1_root",40,"Low Expression",121
"266","Gene60","H3ac",0.285012254756447,"control1_root",60,"Low Expression",121
"267","Gene80","H3ac",0.196595483805528,"control1_root",80,"Low Expression",121
"268","Gene100","H3ac",0.133540355148927,"control1_root",100,"Low Expression",121
"269","Downstream","H3ac",0.117851239669421,"control1_root",120,"Low Expression",121
"270","DownstreamIntergenic","H3ac",0.0218367413372059,"control1_root",140,"Low Expression",121
"271","UpstreamIntergenic","H3K4me3",0,"control1_root",-60,"Low Expression",121
"272","Promotor1000","H3K4me3",0.0751074380165289,"control1_root",-40,"Low Expression",121
"273","Promotor500","H3K4me3",0.0912066115702479,"control1_root",-20,"Low Expression",121
"274","Gene20","H3K4me3",0.311161469840292,"control1_root",20,"Low Expression",121
"275","Gene40","H3K4me3",0.245597880503915,"control1_root",40,"Low Expression",121
"276","Gene60","H3K4me3",0.165338155781282,"control1_root",60,"Low Expression",121
"277","Gene80","H3K4me3",0.110763751292542,"control1_root",80,"Low Expression",121
"278","Gene100","H3K4me3",0.0763244311406914,"control1_root",100,"Low Expression",121
"279","Downstream","H3K4me3",0.0557438016528926,"control1_root",120,"Low Expression",121
"280","DownstreamIntergenic","H3K4me3",0.00839921940223852,"control1_root",140,"Low Expression",121
"281","UpstreamIntergenic","H3K36me3",0,"control1_root",-60,"Low Expression",121
"282","Promotor1000","H3K36me3",0,"control1_root",-40,"Low Expression",121
"283","Promotor500","H3K36me3",0,"control1_root",-20,"Low Expression",121
"284","Gene20","H3K36me3",0,"control1_root",20,"Low Expression",121
"285","Gene40","H3K36me3",0,"control1_root",40,"Low Expression",121
"286","Gene60","H3K36me3",0,"control1_root",60,"Low Expression",121
"287","Gene80","H3K36me3",0,"control1_root",80,"Low Expression",121
"288","Gene100","H3K36me3",0,"control1_root",100,"Low Expression",121
"289","Downstream","H3K36me3",0,"control1_root",120,"Low Expression",121
"290","DownstreamIntergenic","H3K36me3",0,"control1_root",140,"Low Expression",121
"291","UpstreamIntergenic","H3K27ac",0,"control1_root",-60,"Low Expression",121
"292","Promotor1000","H3K27ac",0,"control1_root",-40,"Low Expression",121
"293","Promotor500","H3K27ac",0,"control1_root",-20,"Low Expression",121
"294","Gene20","H3K27ac",0,"control1_root",20,"Low Expression",121
"295","Gene40","H3K27ac",0,"control1_root",40,"Low Expression",121
"296","Gene60","H3K27ac",0,"control1_root",60,"Low Expression",121
"297","Gene80","H3K27ac",0,"control1_root",80,"Low Expression",121
"298","Gene100","H3K27ac",0,"control1_root",100,"Low Expression",121
"299","Downstream","H3K27ac",0,"control1_root",120,"Low Expression",121
"300","DownstreamIntergenic","H3K27ac",0,"control1_root",140,"Low Expression",121
"301","UpstreamIntergenic","H4K5ac",0,"control1_root",-60,"Low Expression",121
"302","Promotor1000","H4K5ac",0,"control1_root",-40,"Low Expression",121
"303","Promotor500","H4K5ac",0,"control1_root",-20,"Low Expression",121
"304","Gene20","H4K5ac",0,"control1_root",20,"Low Expression",121
"305","Gene40","H4K5ac",0,"control1_root",40,"Low Expression",121
"306","Gene60","H4K5ac",0,"control1_root",60,"Low Expression",121
"307","Gene80","H4K5ac",0,"control1_root",80,"Low Expression",121
"308","Gene100","H4K5ac",0,"control1_root",100,"Low Expression",121
"309","Downstream","H4K5ac",0,"control1_root",120,"Low Expression",121
"310","DownstreamIntergenic","H4K5ac",0,"control1_root",140,"Low Expression",121
"311","UpstreamIntergenic","H4K8ac",0,"control1_root",-60,"Low Expression",121
"312","Promotor1000","H4K8ac",0,"control1_root",-40,"Low Expression",121
"313","Promotor500","H4K8ac",0,"control1_root",-20,"Low Expression",121
"314","Gene20","H4K8ac",0,"control1_root",20,"Low Expression",121
"315","Gene40","H4K8ac",0,"control1_root",40,"Low Expression",121
"316","Gene60","H4K8ac",0,"control1_root",60,"Low Expression",121
"317","Gene80","H4K8ac",0,"control1_root",80,"Low Expression",121
"318","Gene100","H4K8ac",0,"control1_root",100,"Low Expression",121
"319","Downstream","H4K8ac",0,"control1_root",120,"Low Expression",121
"320","DownstreamIntergenic","H4K8ac",0,"control1_root",140,"Low Expression",121
"321","UpstreamIntergenic","H3-1",0,"control1_root",-60,"Low Expression",121
"322","Promotor1000","H3-1",0,"control1_root",-40,"Low Expression",121
"323","Promotor500","H3-1",0,"control1_root",-20,"Low Expression",121
"324","Gene20","H3-1",0,"control1_root",20,"Low Expression",121
"325","Gene40","H3-1",0,"control1_root",40,"Low Expression",121
"326","Gene60","H3-1",0,"control1_root",60,"Low Expression",121
"327","Gene80","H3-1",0,"control1_root",80,"Low Expression",121
"328","Gene100","H3-1",0,"control1_root",100,"Low Expression",121
"329","Downstream","H3-1",0,"control1_root",120,"Low Expression",121
"330","DownstreamIntergenic","H3-1",0,"control1_root",140,"Low Expression",121
"331","UpstreamIntergenic","H3K9ac",0,"control1_root",-60,"Low Expression",121
"332","Promotor1000","H3K9ac",0,"control1_root",-40,"Low Expression",121
"333","Promotor500","H3K9ac",0,"control1_root",-20,"Low Expression",121
"334","Gene20","H3K9ac",0,"control1_root",20,"Low Expression",121
"335","Gene40","H3K9ac",0,"control1_root",40,"Low Expression",121
"336","Gene60","H3K9ac",0,"control1_root",60,"Low Expression",121
"337","Gene80","H3K9ac",0,"control1_root",80,"Low Expression",121
"338","Gene100","H3K9ac",0,"control1_root",100,"Low Expression",121
"339","Downstream","H3K9ac",0,"control1_root",120,"Low Expression",121
"340","DownstreamIntergenic","H3K9ac",0,"control1_root",140,"Low Expression",121
"341","UpstreamIntergenic","H4K12ac",0,"control1_root",-60,"Low Expression",121
"342","Promotor1000","H4K12ac",0,"control1_root",-40,"Low Expression",121
"343","Promotor500","H4K12ac",0,"control1_root",-20,"Low Expression",121
"344","Gene20","H4K12ac",0,"control1_root",20,"Low Expression",121
"345","Gene40","H4K12ac",0,"control1_root",40,"Low Expression",121
"346","Gene60","H4K12ac",0,"control1_root",60,"Low Expression",121
"347","Gene80","H4K12ac",0,"control1_root",80,"Low Expression",121
"348","Gene100","H4K12ac",0,"control1_root",100,"Low Expression",121
"349","Downstream","H4K12ac",0,"control1_root",120,"Low Expression",121
"350","DownstreamIntergenic","H4K12ac",0,"control1_root",140,"Low Expression",121
"351","UpstreamIntergenic","H3K27me1",0,"control1_root",-60,"Low Expression",121
"352","Promotor1000","H3K27me1",0,"control1_root",-40,"Low Expression",121
"353","Promotor500","H3K27me1",0,"control1_root",-20,"Low Expression",121
"354","Gene20","H3K27me1",0,"control1_root",20,"Low Expression",121
"355","Gene40","H3K27me1",0,"control1_root",40,"Low Expression",121
"356","Gene60","H3K27me1",0,"control1_root",60,"Low Expression",121
"357","Gene80","H3K27me1",0,"control1_root",80,"Low Expression",121
"358","Gene100","H3K27me1",0,"control1_root",100,"Low Expression",121
"359","Downstream","H3K27me1",0,"control1_root",120,"Low Expression",121
"360","DownstreamIntergenic","H3K27me1",0,"control1_root",140,"Low Expression",121
"361","UpstreamIntergenic","H4K16ac",0,"control1_root",-60,"Low Expression",121
"362","Promotor1000","H4K16ac",0,"control1_root",-40,"Low Expression",121
"363","Promotor500","H4K16ac",0,"control1_root",-20,"Low Expression",121
"364","Gene20","H4K16ac",0,"control1_root",20,"Low Expression",121
"365","Gene40","H4K16ac",0,"control1_root",40,"Low Expression",121
"366","Gene60","H4K16ac",0,"control1_root",60,"Low Expression",121
"367","Gene80","H4K16ac",0,"control1_root",80,"Low Expression",121
"368","Gene100","H4K16ac",0,"control1_root",100,"Low Expression",121
"369","Downstream","H4K16ac",0,"control1_root",120,"Low Expression",121
"370","DownstreamIntergenic","H4K16ac",0,"control1_root",140,"Low Expression",121
"371","UpstreamIntergenic","H3K14ac",0,"control1_root",-60,"Low Expression",121
"372","Promotor1000","H3K14ac",0,"control1_root",-40,"Low Expression",121
"373","Promotor500","H3K14ac",0,"control1_root",-20,"Low Expression",121
"374","Gene20","H3K14ac",0,"control1_root",20,"Low Expression",121
"375","Gene40","H3K14ac",0,"control1_root",40,"Low Expression",121
"376","Gene60","H3K14ac",0,"control1_root",60,"Low Expression",121
"377","Gene80","H3K14ac",0,"control1_root",80,"Low Expression",121
"378","Gene100","H3K14ac",0,"control1_root",100,"Low Expression",121
"379","Downstream","H3K14ac",0,"control1_root",120,"Low Expression",121
"380","DownstreamIntergenic","H3K14ac",0,"control1_root",140,"Low Expression",121
"381","UpstreamIntergenic","H2A",0,"control1_root",-60,"Low Expression",121
"382","Promotor1000","H2A",0,"control1_root",-40,"Low Expression",121
"383","Promotor500","H2A",0,"control1_root",-20,"Low Expression",121
"384","Gene20","H2A",0,"control1_root",20,"Low Expression",121
"385","Gene40","H2A",0,"control1_root",40,"Low Expression",121
"386","Gene60","H2A",0,"control1_root",60,"Low Expression",121
"387","Gene80","H2A",0,"control1_root",80,"Low Expression",121
"388","Gene100","H2A",0,"control1_root",100,"Low Expression",121
"389","Downstream","H2A",0,"control1_root",120,"Low Expression",121
