"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"122","Promotor1000","H3K9ac",0.0329571428571429,"control1_leaves",-40,"No Expression",70
"123","Promotor500","H3K9ac",0.0378857142857143,"control1_leaves",-20,"No Expression",70
"124","Gene20","H3K9ac",0.0615147937740478,"control1_leaves",20,"No Expression",70
"125","Gene40","H3K9ac",0.0579482831708351,"control1_leaves",40,"No Expression",70
"126","Gene60","H3K9ac",0.0379257415403394,"control1_leaves",60,"No Expression",70
"127","Gene80","H3K9ac",0.00593734853600695,"control1_leaves",80,"No Expression",70
"128","Gene100","H3K9ac",0.00759157870972501,"control1_leaves",100,"No Expression",70
"129","Downstream","H3K9ac",0.0239285714285714,"control1_leaves",120,"No Expression",70
"130","DownstreamIntergenic","H3K9ac",0,"control1_leaves",140,"No Expression",70
"131","UpstreamIntergenic","H4K12ac",0,"control1_leaves",-60,"No Expression",70
"132","Promotor1000","H4K12ac",0,"control1_leaves",-40,"No Expression",70
"133","Promotor500","H4K12ac",0,"control1_leaves",-20,"No Expression",70
"134","Gene20","H4K12ac",0,"control1_leaves",20,"No Expression",70
"135","Gene40","H4K12ac",0,"control1_leaves",40,"No Expression",70
"136","Gene60","H4K12ac",0,"control1_leaves",60,"No Expression",70
"137","Gene80","H4K12ac",0,"control1_leaves",80,"No Expression",70
"138","Gene100","H4K12ac",0,"control1_leaves",100,"No Expression",70
"139","Downstream","H4K12ac",0,"control1_leaves",120,"No Expression",70
"140","DownstreamIntergenic","H4K12ac",0,"control1_leaves",140,"No Expression",70
"141","UpstreamIntergenic","H3K27me1",0.00490957072484166,"control1_leaves",-60,"No Expression",70
"142","Promotor1000","H3K27me1",0.0683,"control1_leaves",-40,"No Expression",70
"143","Promotor500","H3K27me1",0.0756285714285714,"control1_leaves",-20,"No Expression",70
"144","Gene20","H3K27me1",0.240171503466049,"control1_leaves",20,"No Expression",70
"145","Gene40","H3K27me1",0.39526021999151,"control1_leaves",40,"No Expression",70
"146","Gene60","H3K27me1",0.375363254350464,"control1_leaves",60,"No Expression",70
"147","Gene80","H3K27me1",0.332851929842596,"control1_leaves",80,"No Expression",70
"148","Gene100","H3K27me1",0.244622979969257,"control1_leaves",100,"No Expression",70
"149","Downstream","H3K27me1",0.132357142857143,"control1_leaves",120,"No Expression",70
"150","DownstreamIntergenic","H3K27me1",0.00831944952924979,"control1_leaves",140,"No Expression",70
"151","UpstreamIntergenic","H4K16ac",0,"control1_leaves",-60,"No Expression",70
"152","Promotor1000","H4K16ac",0,"control1_leaves",-40,"No Expression",70
"153","Promotor500","H4K16ac",0,"control1_leaves",-20,"No Expression",70
"154","Gene20","H4K16ac",0,"control1_leaves",20,"No Expression",70
"155","Gene40","H4K16ac",0,"control1_leaves",40,"No Expression",70
"156","Gene60","H4K16ac",0,"control1_leaves",60,"No Expression",70
"157","Gene80","H4K16ac",0,"control1_leaves",80,"No Expression",70
"158","Gene100","H4K16ac",0,"control1_leaves",100,"No Expression",70
"159","Downstream","H4K16ac",0,"control1_leaves",120,"No Expression",70
"160","DownstreamIntergenic","H4K16ac",0,"control1_leaves",140,"No Expression",70
"161","UpstreamIntergenic","H3K14ac",0,"control1_leaves",-60,"No Expression",70
"162","Promotor1000","H3K14ac",0,"control1_leaves",-40,"No Expression",70
"163","Promotor500","H3K14ac",0,"control1_leaves",-20,"No Expression",70
"164","Gene20","H3K14ac",0,"control1_leaves",20,"No Expression",70
"165","Gene40","H3K14ac",0,"control1_leaves",40,"No Expression",70
"166","Gene60","H3K14ac",0,"control1_leaves",60,"No Expression",70
"167","Gene80","H3K14ac",0,"control1_leaves",80,"No Expression",70
"168","Gene100","H3K14ac",0,"control1_leaves",100,"No Expression",70
"169","Downstream","H3K14ac",0,"control1_leaves",120,"No Expression",70
"170","DownstreamIntergenic","H3K14ac",0,"control1_leaves",140,"No Expression",70
"171","UpstreamIntergenic","H2A",0,"control1_leaves",-60,"No Expression",70
"172","Promotor1000","H2A",0.0413571428571429,"control1_leaves",-40,"No Expression",70
"173","Promotor500","H2A",0.0452285714285714,"control1_leaves",-20,"No Expression",70
"174","Gene20","H2A",0.0564285714285714,"control1_leaves",20,"No Expression",70
"175","Gene40","H2A",0.0575871616234188,"control1_leaves",40,"No Expression",70
"176","Gene60","H2A",0.0937830052658266,"control1_leaves",60,"No Expression",70
"177","Gene80","H2A",0.0693325989650211,"control1_leaves",80,"No Expression",70
"178","Gene100","H2A",0.07463178686689,"control1_leaves",100,"No Expression",70
"179","Downstream","H2A",0.0997857142857143,"control1_leaves",120,"No Expression",70
"180","DownstreamIntergenic","H2A",0.00967851991790404,"control1_leaves",140,"No Expression",70
"181","UpstreamIntergenic","H3",0,"control1_leaves",-60,"No Expression",70
"182","Promotor1000","H3",0,"control1_leaves",-40,"No Expression",70
"183","Promotor500","H3",0,"control1_leaves",-20,"No Expression",70
"184","Gene20","H3",0,"control1_leaves",20,"No Expression",70
"185","Gene40","H3",0.00422209369577791,"control1_leaves",40,"No Expression",70
"186","Gene60","H3",0,"control1_leaves",60,"No Expression",70
"187","Gene80","H3",0.0137943137941853,"control1_leaves",80,"No Expression",70
"188","Gene100","H3",0.0241379310344828,"control1_leaves",100,"No Expression",70
"189","Downstream","H3",0.00285714285714286,"control1_leaves",120,"No Expression",70
"190","DownstreamIntergenic","H3",0,"control1_leaves",140,"No Expression",70
"191","UpstreamIntergenic","H2A-X",0,"control1_leaves",-60,"No Expression",70
