"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"227","UpstreamIntergenic","H3K14ac",0,-60,"Low Expression","control1_root"
"228","UpstreamIntergenic","H2A",0,-60,"Low Expression","control1_root"
"229","UpstreamIntergenic","H3",0,-60,"Low Expression","control1_root"
"230","UpstreamIntergenic","H2A-X",0,-60,"Low Expression","control1_root"
"231","UpstreamIntergenic","H3K18ac",0,-60,"Low Expression","control1_root"
"232","Promotor1000","H3-3",0,-40,"Low Expression","control1_root"
"233","Promotor1000","H3K9me2",0,-40,"Low Expression","control1_root"
"234","Promotor1000","H3K27me3",11.1111111111111,-40,"Low Expression","control1_root"
"235","Promotor1000","H2A-Z",0,-40,"Low Expression","control1_root"
"236","Promotor1000","H2AK121ub",0,-40,"Low Expression","control1_root"
"237","Promotor1000","H3ac",68.3760683760684,-40,"Low Expression","control1_root"
"238","Promotor1000","H3K4me3",23.9316239316239,-40,"Low Expression","control1_root"
"239","Promotor1000","H3K36me3",0,-40,"Low Expression","control1_root"
"240","Promotor1000","H3K27ac",0,-40,"Low Expression","control1_root"
"241","Promotor1000","H4K5ac",0,-40,"Low Expression","control1_root"
"242","Promotor1000","H4K8ac",0,-40,"Low Expression","control1_root"
"243","Promotor1000","H3-1",0,-40,"Low Expression","control1_root"
"244","Promotor1000","H3K9ac",0,-40,"Low Expression","control1_root"
"245","Promotor1000","H4K12ac",0,-40,"Low Expression","control1_root"
"246","Promotor1000","H3K27me1",0,-40,"Low Expression","control1_root"
"247","Promotor1000","H4K16ac",0,-40,"Low Expression","control1_root"
"248","Promotor1000","H3K14ac",0,-40,"Low Expression","control1_root"
"249","Promotor1000","H2A",0,-40,"Low Expression","control1_root"
"250","Promotor1000","H3",0,-40,"Low Expression","control1_root"
"251","Promotor1000","H2A-X",0,-40,"Low Expression","control1_root"
"252","Promotor1000","H3K18ac",0,-40,"Low Expression","control1_root"
"253","Promotor500","H3-3",0,-20,"Low Expression","control1_root"
"254","Promotor500","H3K9me2",0,-20,"Low Expression","control1_root"
"255","Promotor500","H3K27me3",5.98290598290598,-20,"Low Expression","control1_root"
"256","Promotor500","H2A-Z",0,-20,"Low Expression","control1_root"
"257","Promotor500","H2AK121ub",0,-20,"Low Expression","control1_root"
"258","Promotor500","H3ac",65.8119658119658,-20,"Low Expression","control1_root"
"259","Promotor500","H3K4me3",18.8034188034188,-20,"Low Expression","control1_root"
"260","Promotor500","H3K36me3",0,-20,"Low Expression","control1_root"
"261","Promotor500","H3K27ac",0,-20,"Low Expression","control1_root"
"262","Promotor500","H4K5ac",0,-20,"Low Expression","control1_root"
"263","Promotor500","H4K8ac",0,-20,"Low Expression","control1_root"
"264","Promotor500","H3-1",0,-20,"Low Expression","control1_root"
"265","Promotor500","H3K9ac",0,-20,"Low Expression","control1_root"
"266","Promotor500","H4K12ac",0,-20,"Low Expression","control1_root"
"267","Promotor500","H3K27me1",0,-20,"Low Expression","control1_root"
"268","Promotor500","H4K16ac",0,-20,"Low Expression","control1_root"
"269","Promotor500","H3K14ac",0,-20,"Low Expression","control1_root"
"270","Promotor500","H2A",0,-20,"Low Expression","control1_root"
"271","Promotor500","H3",0,-20,"Low Expression","control1_root"
"272","Promotor500","H2A-X",0,-20,"Low Expression","control1_root"
"273","Promotor500","H3K18ac",0,-20,"Low Expression","control1_root"
"274","Gene20","H3-3",0,20,"Low Expression","control1_root"
"275","Gene20","H3K9me2",0,20,"Low Expression","control1_root"
"276","Gene20","H3K27me3",15.3846153846154,20,"Low Expression","control1_root"
"277","Gene20","H2A-Z",0,20,"Low Expression","control1_root"
"278","Gene20","H2AK121ub",0,20,"Low Expression","control1_root"
"279","Gene20","H3ac",82.9059829059829,20,"Low Expression","control1_root"
"280","Gene20","H3K4me3",43.5897435897436,20,"Low Expression","control1_root"
"281","Gene20","H3K36me3",0,20,"Low Expression","control1_root"
"282","Gene20","H3K27ac",0,20,"Low Expression","control1_root"
"283","Gene20","H4K5ac",0,20,"Low Expression","control1_root"
"284","Gene20","H4K8ac",0,20,"Low Expression","control1_root"
"285","Gene20","H3-1",0,20,"Low Expression","control1_root"
"286","Gene20","H3K9ac",0,20,"Low Expression","control1_root"
"287","Gene20","H4K12ac",0,20,"Low Expression","control1_root"
"288","Gene20","H3K27me1",0,20,"Low Expression","control1_root"
"289","Gene20","H4K16ac",0,20,"Low Expression","control1_root"
"290","Gene20","H3K14ac",0,20,"Low Expression","control1_root"
"291","Gene20","H2A",0,20,"Low Expression","control1_root"
"292","Gene20","H3",0,20,"Low Expression","control1_root"
"293","Gene20","H2A-X",0,20,"Low Expression","control1_root"
"294","Gene20","H3K18ac",0,20,"Low Expression","control1_root"
"295","Gene40","H3-3",0,40,"Low Expression","control1_root"
"296","Gene40","H3K9me2",0,40,"Low Expression","control1_root"
"297","Gene40","H3K27me3",14.5299145299145,40,"Low Expression","control1_root"
"298","Gene40","H2A-Z",0,40,"Low Expression","control1_root"
"299","Gene40","H2AK121ub",0,40,"Low Expression","control1_root"
"300","Gene40","H3ac",68.3760683760684,40,"Low Expression","control1_root"
"301","Gene40","H3K4me3",35.8974358974359,40,"Low Expression","control1_root"
"302","Gene40","H3K36me3",0,40,"Low Expression","control1_root"
"303","Gene40","H3K27ac",0,40,"Low Expression","control1_root"
"304","Gene40","H4K5ac",0,40,"Low Expression","control1_root"
"305","Gene40","H4K8ac",0,40,"Low Expression","control1_root"
"306","Gene40","H3-1",0,40,"Low Expression","control1_root"
"307","Gene40","H3K9ac",0,40,"Low Expression","control1_root"
"308","Gene40","H4K12ac",0,40,"Low Expression","control1_root"
"309","Gene40","H3K27me1",0,40,"Low Expression","control1_root"
"310","Gene40","H4K16ac",0,40,"Low Expression","control1_root"
"311","Gene40","H3K14ac",0,40,"Low Expression","control1_root"
"312","Gene40","H2A",0,40,"Low Expression","control1_root"
"313","Gene40","H3",0,40,"Low Expression","control1_root"
"314","Gene40","H2A-X",0,40,"Low Expression","control1_root"
"315","Gene40","H3K18ac",0,40,"Low Expression","control1_root"
"316","Gene60","H3-3",0,60,"Low Expression","control1_root"
"317","Gene60","H3K9me2",0,60,"Low Expression","control1_root"
"318","Gene60","H3K27me3",17.0940170940171,60,"Low Expression","control1_root"
"319","Gene60","H2A-Z",0,60,"Low Expression","control1_root"
"320","Gene60","H2AK121ub",0,60,"Low Expression","control1_root"
"321","Gene60","H3ac",38.4615384615385,60,"Low Expression","control1_root"
"322","Gene60","H3K4me3",23.0769230769231,60,"Low Expression","control1_root"
"323","Gene60","H3K36me3",0,60,"Low Expression","control1_root"
"324","Gene60","H3K27ac",0,60,"Low Expression","control1_root"
"325","Gene60","H4K5ac",0,60,"Low Expression","control1_root"
"326","Gene60","H4K8ac",0,60,"Low Expression","control1_root"
"327","Gene60","H3-1",0,60,"Low Expression","control1_root"
"328","Gene60","H3K9ac",0,60,"Low Expression","control1_root"
"329","Gene60","H4K12ac",0,60,"Low Expression","control1_root"
"330","Gene60","H3K27me1",0,60,"Low Expression","control1_root"
"331","Gene60","H4K16ac",0,60,"Low Expression","control1_root"
"332","Gene60","H3K14ac",0,60,"Low Expression","control1_root"
"333","Gene60","H2A",0,60,"Low Expression","control1_root"
"334","Gene60","H3",0,60,"Low Expression","control1_root"
"335","Gene60","H2A-X",0,60,"Low Expression","control1_root"
"336","Gene60","H3K18ac",0,60,"Low Expression","control1_root"
"337","Gene80","H3-3",0,80,"Low Expression","control1_root"
"338","Gene80","H3K9me2",0,80,"Low Expression","control1_root"
"339","Gene80","H3K27me3",15.3846153846154,80,"Low Expression","control1_root"
"340","Gene80","H2A-Z",0,80,"Low Expression","control1_root"
"341","Gene80","H2AK121ub",0,80,"Low Expression","control1_root"
"342","Gene80","H3ac",23.9316239316239,80,"Low Expression","control1_root"
"343","Gene80","H3K4me3",17.9487179487179,80,"Low Expression","control1_root"
"344","Gene80","H3K36me3",0,80,"Low Expression","control1_root"
"345","Gene80","H3K27ac",0,80,"Low Expression","control1_root"
"346","Gene80","H4K5ac",0,80,"Low Expression","control1_root"
"347","Gene80","H4K8ac",0,80,"Low Expression","control1_root"
"348","Gene80","H3-1",0,80,"Low Expression","control1_root"
"349","Gene80","H3K9ac",0,80,"Low Expression","control1_root"
"350","Gene80","H4K12ac",0,80,"Low Expression","control1_root"
"351","Gene80","H3K27me1",0,80,"Low Expression","control1_root"
"352","Gene80","H4K16ac",0,80,"Low Expression","control1_root"
"353","Gene80","H3K14ac",0,80,"Low Expression","control1_root"
"354","Gene80","H2A",0,80,"Low Expression","control1_root"
"355","Gene80","H3",0,80,"Low Expression","control1_root"
"356","Gene80","H2A-X",0,80,"Low Expression","control1_root"
"357","Gene80","H3K18ac",0,80,"Low Expression","control1_root"
"358","Gene100","H3-3",0,100,"Low Expression","control1_root"
"359","Gene100","H3K9me2",0,100,"Low Expression","control1_root"
"360","Gene100","H3K27me3",8.54700854700855,100,"Low Expression","control1_root"
"361","Gene100","H2A-Z",0,100,"Low Expression","control1_root"
"362","Gene100","H2AK121ub",0,100,"Low Expression","control1_root"
"363","Gene100","H3ac",16.2393162393162,100,"Low Expression","control1_root"
