"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"167","Gene80","H3K14ac",0,"control1_root",80,"No Expression",64
"168","Gene100","H3K14ac",0,"control1_root",100,"No Expression",64
"169","Downstream","H3K14ac",0,"control1_root",120,"No Expression",64
"170","DownstreamIntergenic","H3K14ac",0,"control1_root",140,"No Expression",64
"171","UpstreamIntergenic","H2A",0,"control1_root",-60,"No Expression",64
"172","Promotor1000","H2A",0,"control1_root",-40,"No Expression",64
"173","Promotor500","H2A",0,"control1_root",-20,"No Expression",64
"174","Gene20","H2A",0,"control1_root",20,"No Expression",64
"175","Gene40","H2A",0,"control1_root",40,"No Expression",64
"176","Gene60","H2A",0,"control1_root",60,"No Expression",64
"177","Gene80","H2A",0,"control1_root",80,"No Expression",64
"178","Gene100","H2A",0,"control1_root",100,"No Expression",64
"179","Downstream","H2A",0,"control1_root",120,"No Expression",64
"180","DownstreamIntergenic","H2A",0,"control1_root",140,"No Expression",64
"181","UpstreamIntergenic","H3",0,"control1_root",-60,"No Expression",64
"182","Promotor1000","H3",0,"control1_root",-40,"No Expression",64
"183","Promotor500","H3",0,"control1_root",-20,"No Expression",64
"184","Gene20","H3",0,"control1_root",20,"No Expression",64
"185","Gene40","H3",0,"control1_root",40,"No Expression",64
"186","Gene60","H3",0,"control1_root",60,"No Expression",64
"187","Gene80","H3",0,"control1_root",80,"No Expression",64
"188","Gene100","H3",0,"control1_root",100,"No Expression",64
"189","Downstream","H3",0,"control1_root",120,"No Expression",64
"190","DownstreamIntergenic","H3",0,"control1_root",140,"No Expression",64
"191","UpstreamIntergenic","H2A-X",0,"control1_root",-60,"No Expression",64
"192","Promotor1000","H2A-X",0,"control1_root",-40,"No Expression",64
"193","Promotor500","H2A-X",0,"control1_root",-20,"No Expression",64
"194","Gene20","H2A-X",0,"control1_root",20,"No Expression",64
"195","Gene40","H2A-X",0,"control1_root",40,"No Expression",64
"196","Gene60","H2A-X",0,"control1_root",60,"No Expression",64
"197","Gene80","H2A-X",0,"control1_root",80,"No Expression",64
"198","Gene100","H2A-X",0,"control1_root",100,"No Expression",64
"199","Downstream","H2A-X",0,"control1_root",120,"No Expression",64
"200","DownstreamIntergenic","H2A-X",0,"control1_root",140,"No Expression",64
"201","UpstreamIntergenic","H3K18ac",0,"control1_root",-60,"No Expression",64
"202","Promotor1000","H3K18ac",0,"control1_root",-40,"No Expression",64
"203","Promotor500","H3K18ac",0,"control1_root",-20,"No Expression",64
"204","Gene20","H3K18ac",0,"control1_root",20,"No Expression",64
"205","Gene40","H3K18ac",0,"control1_root",40,"No Expression",64
"206","Gene60","H3K18ac",0,"control1_root",60,"No Expression",64
"207","Gene80","H3K18ac",0,"control1_root",80,"No Expression",64
"208","Gene100","H3K18ac",0,"control1_root",100,"No Expression",64
"209","Downstream","H3K18ac",0,"control1_root",120,"No Expression",64
"210","DownstreamIntergenic","H3K18ac",0,"control1_root",140,"No Expression",64
"211","UpstreamIntergenic","H3-3",0,"control1_root",-60,"Low Expression",118
"212","Promotor1000","H3-3",0,"control1_root",-40,"Low Expression",118
"213","Promotor500","H3-3",0,"control1_root",-20,"Low Expression",118
"214","Gene20","H3-3",0,"control1_root",20,"Low Expression",118
"215","Gene40","H3-3",0,"control1_root",40,"Low Expression",118
"216","Gene60","H3-3",0,"control1_root",60,"Low Expression",118
"217","Gene80","H3-3",0,"control1_root",80,"Low Expression",118
"218","Gene100","H3-3",0,"control1_root",100,"Low Expression",118
"219","Downstream","H3-3",0,"control1_root",120,"Low Expression",118
"220","DownstreamIntergenic","H3-3",0,"control1_root",140,"Low Expression",118
"221","UpstreamIntergenic","H3K9me2",0,"control1_root",-60,"Low Expression",118
"222","Promotor1000","H3K9me2",0,"control1_root",-40,"Low Expression",118
"223","Promotor500","H3K9me2",0,"control1_root",-20,"Low Expression",118
"224","Gene20","H3K9me2",0,"control1_root",20,"Low Expression",118
"225","Gene40","H3K9me2",0,"control1_root",40,"Low Expression",118
"226","Gene60","H3K9me2",0,"control1_root",60,"Low Expression",118
"227","Gene80","H3K9me2",0,"control1_root",80,"Low Expression",118
"228","Gene100","H3K9me2",0,"control1_root",100,"Low Expression",118
"229","Downstream","H3K9me2",0,"control1_root",120,"Low Expression",118
"230","DownstreamIntergenic","H3K9me2",0,"control1_root",140,"Low Expression",118
"231","UpstreamIntergenic","H3K27me3",0.00294050812179037,"control1_root",-60,"Low Expression",118
"232","Promotor1000","H3K27me3",0.0214576271186441,"control1_root",-40,"Low Expression",118
"233","Promotor500","H3K27me3",0.0116101694915254,"control1_root",-20,"Low Expression",118
"234","Gene20","H3K27me3",0.0879240276304985,"control1_root",20,"Low Expression",118
"235","Gene40","H3K27me3",0.0643398160324942,"control1_root",40,"Low Expression",118
"236","Gene60","H3K27me3",0.075080546989883,"control1_root",60,"Low Expression",118
"237","Gene80","H3K27me3",0.0659724402871258,"control1_root",80,"Low Expression",118
"238","Gene100","H3K27me3",0.0365858230412213,"control1_root",100,"Low Expression",118
"239","Downstream","H3K27me3",0.0413559322033898,"control1_root",120,"Low Expression",118
"240","DownstreamIntergenic","H3K27me3",0.00303533538490207,"control1_root",140,"Low Expression",118
"241","UpstreamIntergenic","H2A-Z",0,"control1_root",-60,"Low Expression",118
