Gene,Emoy2_0ddpi,Emoy2_1ddpi,Emoy2_3ddpi,Emoy2_5ddpi,Waco9_0ddpi,Waco9_1ddpi,Waco9_3ddpi,Waco9_5ddpi
AT5G46510,0,5.305833333,4.291666667,4.9475,0.7675,4.510416667,4.669166667,3.885833333
AT5G46520,0,1.875,4.433333333,4.655833333,0,0.82875,5.820833333,10.86083333
AT5G47250,8.384166667,1.902916667,2.219583333,1.53875,0,1.6975,2.741666667,2.664166667
AT5G47260,0,0,0,0,0,0,0,0
AT5G47280,0,0,0,0,0,0,0,0
AT5G48620,13.89916667,20.22375,23.50208333,22.01875,0,23.34166667,26.21916667,22.46833333
AT5G48770,0,0,0,0.059166667,0,0,0,0
AT5G48775,0,0.158333333,0.071666667,0.292083333,0,0.173333333,0,0.1375
AT5G48780,0,0.125416667,0.044583333,0.145,0,0,0,0.213333333
AT5G49140,0,0,0,0,0,0,0,0
AT5G51630,0,0.635833333,1.365,1.91125,0,1.047916667,3.833333333,9.056666667
AT5G58120,1.735833333,1.199166667,2.501666667,2.339583333,0,0.743333333,4.305,5.681666667
AT5G63020,4.895,7.72375,8.28625,9.579583333,0,8.384166667,9.883333333,10.15333333
AT5G66900,2.944166667,9.46375,9.460416667,12.62958333,0,9.396666667,13.55666667,12.23583333
AT5G66910,0,8.924166667,11.81708333,9.962083333,0,6.317916667,16.8875,20.43916667
