"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"103","Promotor500","H4K8ac",0.0411363636363636,"control1_seedlings",-20,"No Expression",44
"104","Gene20","H4K8ac",0.0346563660246941,"control1_seedlings",20,"No Expression",44
"105","Gene40","H4K8ac",0.0361523734096886,"control1_seedlings",40,"No Expression",44
"106","Gene60","H4K8ac",0,"control1_seedlings",60,"No Expression",44
"107","Gene80","H4K8ac",0,"control1_seedlings",80,"No Expression",44
"108","Gene100","H4K8ac",0,"control1_seedlings",100,"No Expression",44
"109","Downstream","H4K8ac",0.00704545454545455,"control1_seedlings",120,"No Expression",44
"110","DownstreamIntergenic","H4K8ac",0,"control1_seedlings",140,"No Expression",44
"111","UpstreamIntergenic","H3-1",0.041072018827111,"control1_seedlings",-60,"No Expression",44
"112","Promotor1000","H3-1",0.194477272727273,"control1_seedlings",-40,"No Expression",44
"113","Promotor500","H3-1",0.207454545454545,"control1_seedlings",-20,"No Expression",44
"114","Gene20","H3-1",0.534048907864305,"control1_seedlings",20,"No Expression",44
"115","Gene40","H3-1",0.594906042519513,"control1_seedlings",40,"No Expression",44
"116","Gene60","H3-1",0.614033080988305,"control1_seedlings",60,"No Expression",44
"117","Gene80","H3-1",0.576657260392863,"control1_seedlings",80,"No Expression",44
"118","Gene100","H3-1",0.460823874719912,"control1_seedlings",100,"No Expression",44
"119","Downstream","H3-1",0.220568181818182,"control1_seedlings",120,"No Expression",44
"120","DownstreamIntergenic","H3-1",0.0529766334671928,"control1_seedlings",140,"No Expression",44
"121","UpstreamIntergenic","H3K9ac",0.00458170038284666,"control1_seedlings",-60,"No Expression",44
"122","Promotor1000","H3K9ac",0.0818181818181818,"control1_seedlings",-40,"No Expression",44
"123","Promotor500","H3K9ac",0.0585909090909091,"control1_seedlings",-20,"No Expression",44
"124","Gene20","H3K9ac",0.0454545454545455,"control1_seedlings",20,"No Expression",44
"125","Gene40","H3K9ac",0.0448067372056951,"control1_seedlings",40,"No Expression",44
"126","Gene60","H3K9ac",0.0298723897911468,"control1_seedlings",60,"No Expression",44
"127","Gene80","H3K9ac",0.0662826031906812,"control1_seedlings",80,"No Expression",44
"128","Gene100","H3K9ac",0.0343761650918675,"control1_seedlings",100,"No Expression",44
"129","Downstream","H3K9ac",0.0140909090909091,"control1_seedlings",120,"No Expression",44
"130","DownstreamIntergenic","H3K9ac",0.00818659837041173,"control1_seedlings",140,"No Expression",44
"131","UpstreamIntergenic","H4K12ac",0.00414191367908194,"control1_seedlings",-60,"No Expression",44
"132","Promotor1000","H4K12ac",0.0577272727272727,"control1_seedlings",-40,"No Expression",44
"133","Promotor500","H4K12ac",0.0365909090909091,"control1_seedlings",-20,"No Expression",44
"134","Gene20","H4K12ac",0.038530794640634,"control1_seedlings",20,"No Expression",44
"135","Gene40","H4K12ac",0.0256631968620316,"control1_seedlings",40,"No Expression",44
"136","Gene60","H4K12ac",0,"control1_seedlings",60,"No Expression",44
"137","Gene80","H4K12ac",0,"control1_seedlings",80,"No Expression",44
"138","Gene100","H4K12ac",0,"control1_seedlings",100,"No Expression",44
"139","Downstream","H4K12ac",0.00875,"control1_seedlings",120,"No Expression",44
"140","DownstreamIntergenic","H4K12ac",0,"control1_seedlings",140,"No Expression",44
"141","UpstreamIntergenic","H3K27me1",0,"control1_seedlings",-60,"No Expression",44
"142","Promotor1000","H3K27me1",0,"control1_seedlings",-40,"No Expression",44
"143","Promotor500","H3K27me1",0,"control1_seedlings",-20,"No Expression",44
"144","Gene20","H3K27me1",0,"control1_seedlings",20,"No Expression",44
"145","Gene40","H3K27me1",0,"control1_seedlings",40,"No Expression",44
"146","Gene60","H3K27me1",0,"control1_seedlings",60,"No Expression",44
"147","Gene80","H3K27me1",0,"control1_seedlings",80,"No Expression",44
"148","Gene100","H3K27me1",0,"control1_seedlings",100,"No Expression",44
"149","Downstream","H3K27me1",0,"control1_seedlings",120,"No Expression",44
"150","DownstreamIntergenic","H3K27me1",0,"control1_seedlings",140,"No Expression",44
"151","UpstreamIntergenic","H4K16ac",0.00148381396823958,"control1_seedlings",-60,"No Expression",44
"152","Promotor1000","H4K16ac",0.0601363636363636,"control1_seedlings",-40,"No Expression",44
"153","Promotor500","H4K16ac",0.0339545454545455,"control1_seedlings",-20,"No Expression",44
"154","Gene20","H4K16ac",0.0251127980003198,"control1_seedlings",20,"No Expression",44
"155","Gene40","H4K16ac",0.0304245980231581,"control1_seedlings",40,"No Expression",44
"156","Gene60","H4K16ac",0.0117170931712155,"control1_seedlings",60,"No Expression",44
"157","Gene80","H4K16ac",0,"control1_seedlings",80,"No Expression",44
"158","Gene100","H4K16ac",0,"control1_seedlings",100,"No Expression",44
"159","Downstream","H4K16ac",0.0025,"control1_seedlings",120,"No Expression",44
"160","DownstreamIntergenic","H4K16ac",0,"control1_seedlings",140,"No Expression",44
"161","UpstreamIntergenic","H3K14ac",0.00567957810007087,"control1_seedlings",-60,"No Expression",44
"162","Promotor1000","H3K14ac",0.0583181818181818,"control1_seedlings",-40,"No Expression",44
"163","Promotor500","H3K14ac",0.0295454545454545,"control1_seedlings",-20,"No Expression",44
"164","Gene20","H3K14ac",0,"control1_seedlings",20,"No Expression",44
"165","Gene40","H3K14ac",0.014350346387642,"control1_seedlings",40,"No Expression",44
"166","Gene60","H3K14ac",0.0586429597517473,"control1_seedlings",60,"No Expression",44
"167","Gene80","H3K14ac",0.0184845481025584,"control1_seedlings",80,"No Expression",44
"168","Gene100","H3K14ac",0,"control1_seedlings",100,"No Expression",44
"169","Downstream","H3K14ac",0.00545454545454545,"control1_seedlings",120,"No Expression",44
"170","DownstreamIntergenic","H3K14ac",0.00889517560542665,"control1_seedlings",140,"No Expression",44
"171","UpstreamIntergenic","H2A",0,"control1_seedlings",-60,"No Expression",44
"172","Promotor1000","H2A",0,"control1_seedlings",-40,"No Expression",44
"173","Promotor500","H2A",0,"control1_seedlings",-20,"No Expression",44
"174","Gene20","H2A",0,"control1_seedlings",20,"No Expression",44
"175","Gene40","H2A",0,"control1_seedlings",40,"No Expression",44
"176","Gene60","H2A",0,"control1_seedlings",60,"No Expression",44
"177","Gene80","H2A",0,"control1_seedlings",80,"No Expression",44
"178","Gene100","H2A",0,"control1_seedlings",100,"No Expression",44
"179","Downstream","H2A",0,"control1_seedlings",120,"No Expression",44
"180","DownstreamIntergenic","H2A",0,"control1_seedlings",140,"No Expression",44
"181","UpstreamIntergenic","H3",0.0071899189079292,"control1_seedlings",-60,"No Expression",44
"182","Promotor1000","H3",0.0416590909090909,"control1_seedlings",-40,"No Expression",44
"183","Promotor500","H3",0.0482727272727273,"control1_seedlings",-20,"No Expression",44
"184","Gene20","H3",0.111832066916007,"control1_seedlings",20,"No Expression",44
"185","Gene40","H3",0.224824981335889,"control1_seedlings",40,"No Expression",44
"186","Gene60","H3",0.196536761308443,"control1_seedlings",60,"No Expression",44
"187","Gene80","H3",0.136789793824692,"control1_seedlings",80,"No Expression",44
"188","Gene100","H3",0.0829157122775593,"control1_seedlings",100,"No Expression",44
"189","Downstream","H3",0.0297727272727273,"control1_seedlings",120,"No Expression",44
"190","DownstreamIntergenic","H3",0.00682776211989907,"control1_seedlings",140,"No Expression",44
"191","UpstreamIntergenic","H2A-X",0,"control1_seedlings",-60,"No Expression",44
"192","Promotor1000","H2A-X",0,"control1_seedlings",-40,"No Expression",44
"193","Promotor500","H2A-X",0,"control1_seedlings",-20,"No Expression",44
"194","Gene20","H2A-X",0,"control1_seedlings",20,"No Expression",44
"195","Gene40","H2A-X",0,"control1_seedlings",40,"No Expression",44
"196","Gene60","H2A-X",0,"control1_seedlings",60,"No Expression",44
"197","Gene80","H2A-X",0,"control1_seedlings",80,"No Expression",44
"198","Gene100","H2A-X",0,"control1_seedlings",100,"No Expression",44
"199","Downstream","H2A-X",0,"control1_seedlings",120,"No Expression",44
"200","DownstreamIntergenic","H2A-X",0,"control1_seedlings",140,"No Expression",44
"201","UpstreamIntergenic","H3K18ac",0.00527747584150213,"control1_seedlings",-60,"No Expression",44
"202","Promotor1000","H3K18ac",0.0509772727272727,"control1_seedlings",-40,"No Expression",44
"203","Promotor500","H3K18ac",0.0529545454545455,"control1_seedlings",-20,"No Expression",44
"204","Gene20","H3K18ac",0.0542673944003055,"control1_seedlings",20,"No Expression",44
"205","Gene40","H3K18ac",0.0974741615693732,"control1_seedlings",40,"No Expression",44
"206","Gene60","H3K18ac",0.0874865095454477,"control1_seedlings",60,"No Expression",44
"207","Gene80","H3K18ac",0.0258647964565352,"control1_seedlings",80,"No Expression",44
"208","Gene100","H3K18ac",0.00962201682998166,"control1_seedlings",100,"No Expression",44
"209","Downstream","H3K18ac",0,"control1_seedlings",120,"No Expression",44
"210","DownstreamIntergenic","H3K18ac",0.00999033106901698,"control1_seedlings",140,"No Expression",44
"211","UpstreamIntergenic","H3-3",0.040735170022581,"control1_seedlings",-60,"Low Expression",126
"212","Promotor1000","H3-3",0.218944444444444,"control1_seedlings",-40,"Low Expression",126
"213","Promotor500","H3-3",0.135587301587302,"control1_seedlings",-20,"Low Expression",126
"214","Gene20","H3-3",0.190726194059966,"control1_seedlings",20,"Low Expression",126
"215","Gene40","H3-3",0.382135268752549,"control1_seedlings",40,"Low Expression",126
