"","Region","Modification","Frequency","n","axisGroup","Expression","SampleGenes"
"114","Gene60","H3K27ac",4.16666666666667,4,60,"No Expression","clusteredNLRs_Leaf"
"115","Gene60","H4K5ac",10.4166666666667,10,60,"No Expression","clusteredNLRs_Leaf"
"116","Gene60","H4K8ac",8.33333333333333,8,60,"No Expression","clusteredNLRs_Leaf"
"117","Gene60","H3-1",73.9583333333333,71,60,"No Expression","clusteredNLRs_Leaf"
"118","Gene60","H3K9ac",18.75,18,60,"No Expression","clusteredNLRs_Leaf"
"119","Gene60","H4K12ac",6.25,6,60,"No Expression","clusteredNLRs_Leaf"
"120","Gene60","H3K27me1",44.7916666666667,43,60,"No Expression","clusteredNLRs_Leaf"
"121","Gene60","H4K16ac",9.375,9,60,"No Expression","clusteredNLRs_Leaf"
"122","Gene60","H3K14ac",23.9583333333333,23,60,"No Expression","clusteredNLRs_Leaf"
"123","Gene60","H2A",50,48,60,"No Expression","clusteredNLRs_Leaf"
"124","Gene60","H3",19.7916666666667,19,60,"No Expression","clusteredNLRs_Leaf"
"125","Gene60","H2A-X",20.8333333333333,20,60,"No Expression","clusteredNLRs_Leaf"
"126","Gene60","H3K18ac",3.125,3,60,"No Expression","clusteredNLRs_Leaf"
"127","Gene80","H3-3",65.625,63,80,"No Expression","clusteredNLRs_Leaf"
"128","Gene80","H3K9me2",5.20833333333333,5,80,"No Expression","clusteredNLRs_Leaf"
"129","Gene80","H3K27me3",31.25,30,80,"No Expression","clusteredNLRs_Leaf"
"130","Gene80","H2A-Z",62.5,60,80,"No Expression","clusteredNLRs_Leaf"
"131","Gene80","H2AK121ub",11.4583333333333,11,80,"No Expression","clusteredNLRs_Leaf"
"132","Gene80","H3ac",0,0,80,"No Expression","clusteredNLRs_Leaf"
"133","Gene80","H3K4me3",48.9583333333333,47,80,"No Expression","clusteredNLRs_Leaf"
"134","Gene80","H3K36me3",26.0416666666667,25,80,"No Expression","clusteredNLRs_Leaf"
"135","Gene80","H3K27ac",4.16666666666667,4,80,"No Expression","clusteredNLRs_Leaf"
"136","Gene80","H4K5ac",13.5416666666667,13,80,"No Expression","clusteredNLRs_Leaf"
"137","Gene80","H4K8ac",14.5833333333333,14,80,"No Expression","clusteredNLRs_Leaf"
"138","Gene80","H3-1",73.9583333333333,71,80,"No Expression","clusteredNLRs_Leaf"
"139","Gene80","H3K9ac",28.125,27,80,"No Expression","clusteredNLRs_Leaf"
"140","Gene80","H4K12ac",13.5416666666667,13,80,"No Expression","clusteredNLRs_Leaf"
"141","Gene80","H3K27me1",47.9166666666667,46,80,"No Expression","clusteredNLRs_Leaf"
"142","Gene80","H4K16ac",12.5,12,80,"No Expression","clusteredNLRs_Leaf"
"143","Gene80","H3K14ac",32.2916666666667,31,80,"No Expression","clusteredNLRs_Leaf"
"144","Gene80","H2A",40.625,39,80,"No Expression","clusteredNLRs_Leaf"
"145","Gene80","H3",20.8333333333333,20,80,"No Expression","clusteredNLRs_Leaf"
"146","Gene80","H2A-X",20.8333333333333,20,80,"No Expression","clusteredNLRs_Leaf"
"147","Gene80","H3K18ac",4.16666666666667,4,80,"No Expression","clusteredNLRs_Leaf"
"148","Gene100","H3-3",70.8333333333333,68,100,"No Expression","clusteredNLRs_Leaf"
"149","Gene100","H3K9me2",5.20833333333333,5,100,"No Expression","clusteredNLRs_Leaf"
"150","Gene100","H3K27me3",31.25,30,100,"No Expression","clusteredNLRs_Leaf"
"151","Gene100","H2A-Z",70.8333333333333,68,100,"No Expression","clusteredNLRs_Leaf"
"152","Gene100","H2AK121ub",18.75,18,100,"No Expression","clusteredNLRs_Leaf"
"153","Gene100","H3ac",0,0,100,"No Expression","clusteredNLRs_Leaf"
"154","Gene100","H3K4me3",45.8333333333333,44,100,"No Expression","clusteredNLRs_Leaf"
"155","Gene100","H3K36me3",21.875,21,100,"No Expression","clusteredNLRs_Leaf"
"156","Gene100","H3K27ac",7.29166666666667,7,100,"No Expression","clusteredNLRs_Leaf"
"157","Gene100","H4K5ac",20.8333333333333,20,100,"No Expression","clusteredNLRs_Leaf"
"158","Gene100","H4K8ac",15.625,15,100,"No Expression","clusteredNLRs_Leaf"
"159","Gene100","H3-1",60.4166666666667,58,100,"No Expression","clusteredNLRs_Leaf"
