"","Region","Modification","Frequency","axisGroup","Expression","SampleGenes"
"113","Gene60","H3K36me3",44.4444444444444,60,"Intermediate Expression","control6_Seedling"
"114","Gene60","H3K27ac",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"115","Gene60","H4K5ac",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"116","Gene60","H4K8ac",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"117","Gene60","H3-1",44.4444444444444,60,"Intermediate Expression","control6_Seedling"
"118","Gene60","H3K9ac",44.4444444444444,60,"Intermediate Expression","control6_Seedling"
"119","Gene60","H4K12ac",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"120","Gene60","H3K27me1",33.3333333333333,60,"Intermediate Expression","control6_Seedling"
"121","Gene60","H4K16ac",33.3333333333333,60,"Intermediate Expression","control6_Seedling"
"122","Gene60","H3K14ac",33.3333333333333,60,"Intermediate Expression","control6_Seedling"
"123","Gene60","H2A",44.4444444444444,60,"Intermediate Expression","control6_Seedling"
"124","Gene60","H3",44.4444444444444,60,"Intermediate Expression","control6_Seedling"
"125","Gene60","H2A-X",22.2222222222222,60,"Intermediate Expression","control6_Seedling"
"126","Gene60","H3K18ac",11.1111111111111,60,"Intermediate Expression","control6_Seedling"
"127","Gene80","H3-3",77.7777777777778,80,"Intermediate Expression","control6_Seedling"
"128","Gene80","H3K9me2",0,80,"Intermediate Expression","control6_Seedling"
"129","Gene80","H3K27me3",22.2222222222222,80,"Intermediate Expression","control6_Seedling"
"130","Gene80","H2A-Z",44.4444444444444,80,"Intermediate Expression","control6_Seedling"
"131","Gene80","H2AK121ub",44.4444444444444,80,"Intermediate Expression","control6_Seedling"
"132","Gene80","H3ac",0,80,"Intermediate Expression","control6_Seedling"
"133","Gene80","H3K4me3",44.4444444444444,80,"Intermediate Expression","control6_Seedling"
"134","Gene80","H3K36me3",33.3333333333333,80,"Intermediate Expression","control6_Seedling"
"135","Gene80","H3K27ac",11.1111111111111,80,"Intermediate Expression","control6_Seedling"
"136","Gene80","H4K5ac",11.1111111111111,80,"Intermediate Expression","control6_Seedling"
"137","Gene80","H4K8ac",11.1111111111111,80,"Intermediate Expression","control6_Seedling"
"138","Gene80","H3-1",33.3333333333333,80,"Intermediate Expression","control6_Seedling"
"139","Gene80","H3K9ac",22.2222222222222,80,"Intermediate Expression","control6_Seedling"
"140","Gene80","H4K12ac",11.1111111111111,80,"Intermediate Expression","control6_Seedling"
"141","Gene80","H3K27me1",22.2222222222222,80,"Intermediate Expression","control6_Seedling"
"142","Gene80","H4K16ac",22.2222222222222,80,"Intermediate Expression","control6_Seedling"
"143","Gene80","H3K14ac",22.2222222222222,80,"Intermediate Expression","control6_Seedling"
"144","Gene80","H2A",55.5555555555556,80,"Intermediate Expression","control6_Seedling"
"145","Gene80","H3",11.1111111111111,80,"Intermediate Expression","control6_Seedling"
"146","Gene80","H2A-X",22.2222222222222,80,"Intermediate Expression","control6_Seedling"
"147","Gene80","H3K18ac",0,80,"Intermediate Expression","control6_Seedling"
"148","Gene100","H3-3",77.7777777777778,100,"Intermediate Expression","control6_Seedling"
"149","Gene100","H3K9me2",0,100,"Intermediate Expression","control6_Seedling"
"150","Gene100","H3K27me3",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"151","Gene100","H2A-Z",55.5555555555556,100,"Intermediate Expression","control6_Seedling"
"152","Gene100","H2AK121ub",33.3333333333333,100,"Intermediate Expression","control6_Seedling"
"153","Gene100","H3ac",0,100,"Intermediate Expression","control6_Seedling"
"154","Gene100","H3K4me3",33.3333333333333,100,"Intermediate Expression","control6_Seedling"
"155","Gene100","H3K36me3",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"156","Gene100","H3K27ac",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"157","Gene100","H4K5ac",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"158","Gene100","H4K8ac",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"159","Gene100","H3-1",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"160","Gene100","H3K9ac",44.4444444444444,100,"Intermediate Expression","control6_Seedling"
"161","Gene100","H4K12ac",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"162","Gene100","H3K27me1",11.1111111111111,100,"Intermediate Expression","control6_Seedling"
"163","Gene100","H4K16ac",22.2222222222222,100,"Intermediate Expression","control6_Seedling"
"164","Gene100","H3K14ac",22.2222222222222,100,"Intermediate Expression","control6_Seedling"
"165","Gene100","H2A",33.3333333333333,100,"Intermediate Expression","control6_Seedling"
"166","Gene100","H3",0,100,"Intermediate Expression","control6_Seedling"
"167","Gene100","H2A-X",0,100,"Intermediate Expression","control6_Seedling"
"168","Gene100","H3K18ac",0,100,"Intermediate Expression","control6_Seedling"
"169","Downstream","H3-3",44.4444444444444,120,"Intermediate Expression","control6_Seedling"
"170","Downstream","H3K9me2",0,120,"Intermediate Expression","control6_Seedling"
"171","Downstream","H3K27me3",0,120,"Intermediate Expression","control6_Seedling"
"172","Downstream","H2A-Z",33.3333333333333,120,"Intermediate Expression","control6_Seedling"
"173","Downstream","H2AK121ub",22.2222222222222,120,"Intermediate Expression","control6_Seedling"
"174","Downstream","H3ac",0,120,"Intermediate Expression","control6_Seedling"
"175","Downstream","H3K4me3",22.2222222222222,120,"Intermediate Expression","control6_Seedling"
"176","Downstream","H3K36me3",0,120,"Intermediate Expression","control6_Seedling"
"177","Downstream","H3K27ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"178","Downstream","H4K5ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"179","Downstream","H4K8ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"180","Downstream","H3-1",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"181","Downstream","H3K9ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"182","Downstream","H4K12ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"183","Downstream","H3K27me1",0,120,"Intermediate Expression","control6_Seedling"
"184","Downstream","H4K16ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"185","Downstream","H3K14ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"186","Downstream","H2A",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"187","Downstream","H3",0,120,"Intermediate Expression","control6_Seedling"
"188","Downstream","H2A-X",0,120,"Intermediate Expression","control6_Seedling"
"189","Downstream","H3K18ac",11.1111111111111,120,"Intermediate Expression","control6_Seedling"
"190","DownstreamIntergenic","H3-3",44.4444444444444,140,"Intermediate Expression","control6_Seedling"
