"","Region","Modification","Proportion","axisGroup","Expression","SampleGenes"
"126","UpstreamIntergenic","H4K12ac",0,-60,"Intermediate Expression","control6_Seedling"
"127","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"128","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"129","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"130","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"131","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"132","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"133","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"134","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"135","UpstreamIntergenic","H3K27me1",0,-60,"Intermediate Expression","control6_Seedling"
"136","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"137","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"138","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"139","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"140","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"141","UpstreamIntergenic","H4K16ac",0.332738626226583,-60,"Intermediate Expression","control6_Seedling"
"142","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"143","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"144","UpstreamIntergenic","H4K16ac",0,-60,"Intermediate Expression","control6_Seedling"
"145","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"146","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"147","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"148","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
"149","UpstreamIntergenic","H3K14ac",0,-60,"Intermediate Expression","control6_Seedling"
