"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"157","Gene100","H4K5ac",0,100,"No Expression","control1_leaves"
"158","Gene100","H4K8ac",0,100,"No Expression","control1_leaves"
"159","Gene100","H3-1",0,100,"No Expression","control1_leaves"
"160","Gene100","H3K9ac",1.63934426229508,100,"No Expression","control1_leaves"
"161","Gene100","H4K12ac",0,100,"No Expression","control1_leaves"
"162","Gene100","H3K27me1",31.1475409836066,100,"No Expression","control1_leaves"
"163","Gene100","H4K16ac",0,100,"No Expression","control1_leaves"
"164","Gene100","H3K14ac",0,100,"No Expression","control1_leaves"
"165","Gene100","H2A",6.55737704918033,100,"No Expression","control1_leaves"
"166","Gene100","H3",3.27868852459016,100,"No Expression","control1_leaves"
"167","Gene100","H2A-X",0,100,"No Expression","control1_leaves"
"168","Gene100","H3K18ac",0,100,"No Expression","control1_leaves"
"169","Downstream","H3-3",0,120,"No Expression","control1_leaves"
"170","Downstream","H3K9me2",0,120,"No Expression","control1_leaves"
"171","Downstream","H3K27me3",32.7868852459016,120,"No Expression","control1_leaves"
"172","Downstream","H2A-Z",49.1803278688525,120,"No Expression","control1_leaves"
"173","Downstream","H2AK121ub",0,120,"No Expression","control1_leaves"
"174","Downstream","H3ac",0,120,"No Expression","control1_leaves"
"175","Downstream","H3K4me3",4.91803278688525,120,"No Expression","control1_leaves"
"176","Downstream","H3K36me3",1.63934426229508,120,"No Expression","control1_leaves"
"177","Downstream","H3K27ac",0,120,"No Expression","control1_leaves"
"178","Downstream","H4K5ac",0,120,"No Expression","control1_leaves"
"179","Downstream","H4K8ac",0,120,"No Expression","control1_leaves"
"180","Downstream","H3-1",0,120,"No Expression","control1_leaves"
"181","Downstream","H3K9ac",3.27868852459016,120,"No Expression","control1_leaves"
"182","Downstream","H4K12ac",0,120,"No Expression","control1_leaves"
"183","Downstream","H3K27me1",16.3934426229508,120,"No Expression","control1_leaves"
"184","Downstream","H4K16ac",0,120,"No Expression","control1_leaves"
"185","Downstream","H3K14ac",0,120,"No Expression","control1_leaves"
"186","Downstream","H2A",6.55737704918033,120,"No Expression","control1_leaves"
"187","Downstream","H3",1.63934426229508,120,"No Expression","control1_leaves"
"188","Downstream","H2A-X",0,120,"No Expression","control1_leaves"
"189","Downstream","H3K18ac",0,120,"No Expression","control1_leaves"
"190","DownstreamIntergenic","H3-3",0,140,"No Expression","control1_leaves"
"191","DownstreamIntergenic","H3K9me2",0,140,"No Expression","control1_leaves"
"192","DownstreamIntergenic","H3K27me3",18.0327868852459,140,"No Expression","control1_leaves"
"193","DownstreamIntergenic","H2A-Z",24.5901639344262,140,"No Expression","control1_leaves"
"194","DownstreamIntergenic","H2AK121ub",0,140,"No Expression","control1_leaves"
"195","DownstreamIntergenic","H3ac",0,140,"No Expression","control1_leaves"
"196","DownstreamIntergenic","H3K4me3",0,140,"No Expression","control1_leaves"
"197","DownstreamIntergenic","H3K36me3",0,140,"No Expression","control1_leaves"
"198","DownstreamIntergenic","H3K27ac",0,140,"No Expression","control1_leaves"
