"","Region","Modification","Frequency","axisGroup","Expression","dataToAnalyse"
"117","Gene60","H3-1",60,60,"No Expression","control1_seedlings"
"118","Gene60","H3K9ac",10.7692307692308,60,"No Expression","control1_seedlings"
"119","Gene60","H4K12ac",3.07692307692308,60,"No Expression","control1_seedlings"
"120","Gene60","H3K27me1",0,60,"No Expression","control1_seedlings"
"121","Gene60","H4K16ac",4.61538461538462,60,"No Expression","control1_seedlings"
"122","Gene60","H3K14ac",7.69230769230769,60,"No Expression","control1_seedlings"
"123","Gene60","H2A",0,60,"No Expression","control1_seedlings"
"124","Gene60","H3",21.5384615384615,60,"No Expression","control1_seedlings"
"125","Gene60","H2A-X",0,60,"No Expression","control1_seedlings"
"126","Gene60","H3K18ac",10.7692307692308,60,"No Expression","control1_seedlings"
"127","Gene80","H3-3",60,80,"No Expression","control1_seedlings"
"128","Gene80","H3K9me2",1.53846153846154,80,"No Expression","control1_seedlings"
"129","Gene80","H3K27me3",44.6153846153846,80,"No Expression","control1_seedlings"
"130","Gene80","H2A-Z",78.4615384615385,80,"No Expression","control1_seedlings"
"131","Gene80","H2AK121ub",36.9230769230769,80,"No Expression","control1_seedlings"
"132","Gene80","H3ac",0,80,"No Expression","control1_seedlings"
"133","Gene80","H3K4me3",35.3846153846154,80,"No Expression","control1_seedlings"
"134","Gene80","H3K36me3",3.07692307692308,80,"No Expression","control1_seedlings"
"135","Gene80","H3K27ac",0,80,"No Expression","control1_seedlings"
"136","Gene80","H4K5ac",3.07692307692308,80,"No Expression","control1_seedlings"
"137","Gene80","H4K8ac",1.53846153846154,80,"No Expression","control1_seedlings"
"138","Gene80","H3-1",58.4615384615385,80,"No Expression","control1_seedlings"
"139","Gene80","H3K9ac",10.7692307692308,80,"No Expression","control1_seedlings"
"140","Gene80","H4K12ac",1.53846153846154,80,"No Expression","control1_seedlings"
"141","Gene80","H3K27me1",0,80,"No Expression","control1_seedlings"
"142","Gene80","H4K16ac",0,80,"No Expression","control1_seedlings"
"143","Gene80","H3K14ac",4.61538461538462,80,"No Expression","control1_seedlings"
"144","Gene80","H2A",0,80,"No Expression","control1_seedlings"
"145","Gene80","H3",18.4615384615385,80,"No Expression","control1_seedlings"
"146","Gene80","H2A-X",0,80,"No Expression","control1_seedlings"
"147","Gene80","H3K18ac",4.61538461538462,80,"No Expression","control1_seedlings"
"148","Gene100","H3-3",61.5384615384615,100,"No Expression","control1_seedlings"
"149","Gene100","H3K9me2",1.53846153846154,100,"No Expression","control1_seedlings"
"150","Gene100","H3K27me3",46.1538461538462,100,"No Expression","control1_seedlings"
"151","Gene100","H2A-Z",69.2307692307692,100,"No Expression","control1_seedlings"
"152","Gene100","H2AK121ub",33.8461538461538,100,"No Expression","control1_seedlings"
"153","Gene100","H3ac",0,100,"No Expression","control1_seedlings"
"154","Gene100","H3K4me3",21.5384615384615,100,"No Expression","control1_seedlings"
"155","Gene100","H3K36me3",3.07692307692308,100,"No Expression","control1_seedlings"
"156","Gene100","H3K27ac",0,100,"No Expression","control1_seedlings"
"157","Gene100","H4K5ac",1.53846153846154,100,"No Expression","control1_seedlings"
"158","Gene100","H4K8ac",1.53846153846154,100,"No Expression","control1_seedlings"
"159","Gene100","H3-1",53.8461538461538,100,"No Expression","control1_seedlings"
"160","Gene100","H3K9ac",9.23076923076923,100,"No Expression","control1_seedlings"
"161","Gene100","H4K12ac",0,100,"No Expression","control1_seedlings"
"162","Gene100","H3K27me1",0,100,"No Expression","control1_seedlings"
"163","Gene100","H4K16ac",0,100,"No Expression","control1_seedlings"
"164","Gene100","H3K14ac",1.53846153846154,100,"No Expression","control1_seedlings"
"165","Gene100","H2A",0,100,"No Expression","control1_seedlings"
"166","Gene100","H3",13.8461538461538,100,"No Expression","control1_seedlings"
"167","Gene100","H2A-X",0,100,"No Expression","control1_seedlings"
"168","Gene100","H3K18ac",1.53846153846154,100,"No Expression","control1_seedlings"
"169","Downstream","H3-3",46.1538461538462,120,"No Expression","control1_seedlings"
"170","Downstream","H3K9me2",1.53846153846154,120,"No Expression","control1_seedlings"
"171","Downstream","H3K27me3",36.9230769230769,120,"No Expression","control1_seedlings"
"172","Downstream","H2A-Z",50.7692307692308,120,"No Expression","control1_seedlings"
"173","Downstream","H2AK121ub",27.6923076923077,120,"No Expression","control1_seedlings"
"174","Downstream","H3ac",0,120,"No Expression","control1_seedlings"
"175","Downstream","H3K4me3",10.7692307692308,120,"No Expression","control1_seedlings"
"176","Downstream","H3K36me3",4.61538461538462,120,"No Expression","control1_seedlings"
"177","Downstream","H3K27ac",3.07692307692308,120,"No Expression","control1_seedlings"
"178","Downstream","H4K5ac",4.61538461538462,120,"No Expression","control1_seedlings"
"179","Downstream","H4K8ac",6.15384615384615,120,"No Expression","control1_seedlings"
"180","Downstream","H3-1",27.6923076923077,120,"No Expression","control1_seedlings"
"181","Downstream","H3K9ac",9.23076923076923,120,"No Expression","control1_seedlings"
"182","Downstream","H4K12ac",4.61538461538462,120,"No Expression","control1_seedlings"
