"","Region","Modification","Proportion","Tissue","axisGroup","Expression","SampleSize"
"142","Promotor1000","H3K27me1",0,"control1_seedlings",-40,"No Expression",65
"143","Promotor500","H3K27me1",0,"control1_seedlings",-20,"No Expression",65
"144","Gene20","H3K27me1",0,"control1_seedlings",20,"No Expression",65
"145","Gene40","H3K27me1",0,"control1_seedlings",40,"No Expression",65
"146","Gene60","H3K27me1",0,"control1_seedlings",60,"No Expression",65
"147","Gene80","H3K27me1",0,"control1_seedlings",80,"No Expression",65
"148","Gene100","H3K27me1",0,"control1_seedlings",100,"No Expression",65
"149","Downstream","H3K27me1",0,"control1_seedlings",120,"No Expression",65
"150","DownstreamIntergenic","H3K27me1",0,"control1_seedlings",140,"No Expression",65
"151","UpstreamIntergenic","H4K16ac",0.00100442791696218,"control1_seedlings",-60,"No Expression",65
"152","Promotor1000","H4K16ac",0.0339230769230769,"control1_seedlings",-40,"No Expression",65
"153","Promotor500","H4K16ac",0.0377538461538462,"control1_seedlings",-20,"No Expression",65
"154","Gene20","H4K16ac",0.0761286881416717,"control1_seedlings",20,"No Expression",65
"155","Gene40","H4K16ac",0.0676081601137658,"control1_seedlings",40,"No Expression",65
"156","Gene60","H4K16ac",0.0127299912983582,"control1_seedlings",60,"No Expression",65
"157","Gene80","H4K16ac",0,"control1_seedlings",80,"No Expression",65
"158","Gene100","H4K16ac",0,"control1_seedlings",100,"No Expression",65
"159","Downstream","H4K16ac",0.009,"control1_seedlings",120,"No Expression",65
"160","DownstreamIntergenic","H4K16ac",0,"control1_seedlings",140,"No Expression",65
"161","UpstreamIntergenic","H3K14ac",0.00606073944943503,"control1_seedlings",-60,"No Expression",65
"162","Promotor1000","H3K14ac",0.0345692307692308,"control1_seedlings",-40,"No Expression",65
"163","Promotor500","H3K14ac",0.0478153846153846,"control1_seedlings",-20,"No Expression",65
"164","Gene20","H3K14ac",0.0508922318672427,"control1_seedlings",20,"No Expression",65
"165","Gene40","H3K14ac",0.0760061534286275,"control1_seedlings",40,"No Expression",65
"166","Gene60","H3K14ac",0.0436382936762701,"control1_seedlings",60,"No Expression",65
"167","Gene80","H3K14ac",0.0125126171771165,"control1_seedlings",80,"No Expression",65
"168","Gene100","H3K14ac",0.014196900807211,"control1_seedlings",100,"No Expression",65
"169","Downstream","H3K14ac",0.0275384615384615,"control1_seedlings",120,"No Expression",65
"170","DownstreamIntergenic","H3K14ac",0.00985331103713354,"control1_seedlings",140,"No Expression",65
"171","UpstreamIntergenic","H2A",0,"control1_seedlings",-60,"No Expression",65
"172","Promotor1000","H2A",0,"control1_seedlings",-40,"No Expression",65
"173","Promotor500","H2A",0,"control1_seedlings",-20,"No Expression",65
"174","Gene20","H2A",0,"control1_seedlings",20,"No Expression",65
"175","Gene40","H2A",0,"control1_seedlings",40,"No Expression",65
"176","Gene60","H2A",0,"control1_seedlings",60,"No Expression",65
"177","Gene80","H2A",0,"control1_seedlings",80,"No Expression",65
"178","Gene100","H2A",0,"control1_seedlings",100,"No Expression",65
